Dependent-Company Status,Age of company in years,Internet Activity Score,Employee Count,Has the team size grown,Country of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Number of of repeat investors,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on consumer data?,Subscription based business,Local or global player,Linear or Non-linear business model,B2C or B2B venture?,Top forums talked about,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Years of education,Relevance of experience to venture,Experience in selling and building products,Experience in Fortune 500 organizations,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Company awards,google page rank of company website,Solutions offered,Invested through global incubation competitions?,Number of Direct competitors,Renown score
1,4.0,-1.0,3.0,0,1,2.0,0.0,1,2,2,15.0,4,0.0,0,0,0,0.0,0,0,0,1,1,1,0,2,2,1,0,1,1,1,0,0.0,0,0,1,1,9626884.0,1,0,0,0.0
1,3.0,125.0,35.0,0,1,5.0,0.0,2,0,4,20.0,0,1.0,2,1,0,0.0,1,0,1,0,0,0,0,0,2,1,2,1,1,2,0,34.0,2,1,1,1,1067034.0,1,0,0,8.0
1,3.0,455.0,14.0,0,1,15.0,0.0,3,0,7,10.0,0,1.0,1,0,0,0.0,2,1,1,1,0,0,1,0,1,1,0,0,1,2,0,36.0,2,1,1,0,71391.0,1,2,0,9.0
1,5.0,-99.0,45.0,0,1,6.0,0.0,2,0,4,50.0,0,0.0,2,1,0,0.0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,15.5,1,1,1,0,11847.0,1,2,1,5.0
1,4.0,496.0,39.0,0,1,7.0,0.0,1,1,8,40.0,0,0.0,0,0,0,0.0,1,1,1,0,0,0,1,0,2,1,1,0,1,2,0,23.0,1,1,1,0,201814.0,1,0,0,6.0
1,4.0,106.0,14.0,0,1,2.0,0.0,4,0,4,14.0,2,0.0,1,0,0,0.0,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,25.0,1,1,1,0,591816.0,1,2,0,6.0
1,3.0,39.0,7.0,0,1,7.0,0.0,2,9,2,15.0,4,0.0,0,1,0,0.0,2,1,1,1,0,0,1,0,2,1,1,2,1,0,0,21.0,1,1,1,0,2345574.0,1,0,0,0.0
1,4.0,139.0,29.0,0,1,0.0,0.0,3,4,4,40.0,0,0.0,2,1,0,0.0,2,1,0,0,0,0,1,1,2,1,1,1,1,1,0,4.5,1,1,1,0,1015027.0,1,0,0,2.0
1,3.0,306.0,16.0,0,1,13.0,0.0,2,0,2,50.0,0,1.0,1,1,0,0.0,1,1,1,0,0,0,1,1,2,1,2,1,1,2,0,48.0,0,1,0,0,256921.0,1,0,0,5.0
1,1.0,53.0,3.0,0,1,0.0,0.0,3,4,3,3.0,0,1.0,1,1,0,0.0,1,0,1,0,1,0,1,0,2,1,2,2,1,2,0,25.5,1,2,1,0,3639779.0,1,0,0,4.0
1,3.0,762.0,34.0,0,1,0.0,0.0,2,1,8,50.0,0,0.0,0,1,0,0.0,2,0,1,0,1,0,1,1,2,1,2,0,1,2,0,14.5,2,1,1,0,142907.0,1,0,1,6.0
1,4.0,140.0,31.0,0,1,0.0,1.0,0,1,7,50.0,1,0.0,0,1,0,0.0,1,1,0,0,1,0,1,1,2,1,2,1,1,2,0,12.0,2,1,1,0,1560315.0,0,0,0,0.0
1,4.0,115.0,47.0,0,1,0.0,0.0,0,1,8,50.0,1,0.0,1,1,0,1.0,1,1,1,0,0,0,1,1,2,1,1,0,1,2,0,0.0,2,1,1,0,172054.0,1,0,0,0.0
1,6.0,277.0,22.0,0,1,0.0,0.0,3,0,6,22.0,0,0.0,2,1,1,1.0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,20.5,1,1,1,0,99081.0,1,2,0,0.0
1,4.0,242.0,13.0,0,1,0.0,2.0,2,0,5,50.0,0,0.0,1,0,0,0.0,1,1,1,0,0,0,1,0,2,1,2,2,1,1,0,22.5,2,1,1,0,713494.0,1,0,0,1.0
1,6.0,533.0,129.0,1,1,0.0,0.0,2,0,8,200.0,0,0.0,0,0,0,0.0,2,0,1,0,1,0,1,1,2,1,1,1,1,2,1,21.0,2,1,1,0,289041.0,1,0,0,5.0
1,4.0,-81.0,23.0,0,1,0.0,3.0,1,0,7,50.0,2,0.0,0,0,0,0.0,1,1,1,0,0,0,1,0,2,1,2,1,1,2,0,12.0,1,1,1,0,1939943.0,1,0,0,2.0
1,5.0,471.0,52.0,0,1,0.0,0.0,3,0,8,50.0,2,0.0,0,0,0,0.0,2,1,1,0,1,0,1,1,2,1,1,1,1,2,0,4.5,2,1,1,1,276491.0,1,0,0,0.0
1,12.0,47.0,46.0,1,1,0.0,3.0,0,0,8,200.0,0,1.0,0,1,0,0.0,2,0,1,0,0,0,1,0,2,1,2,1,1,1,0,18.5,2,2,1,0,3341960.0,1,0,0,5.0
1,4.0,60.0,5.0,0,1,0.0,6.0,2,0,4,50.0,0,0.0,0,1,0,0.0,1,0,1,0,0,0,1,0,2,0,0,0,1,2,0,0.0,2,2,0,0,2461569.0,1,0,1,8.0
1,4.0,70.0,27.0,1,1,0.0,1.0,2,0,5,26.0,0,1.0,1,1,0,0.0,2,1,1,0,1,0,1,2,2,1,0,0,1,2,1,22.0,1,1,1,0,1246836.0,0,0,0,7.0
1,9.0,242.0,13.0,1,1,0.0,0.0,2,0,4,26.0,0,0.0,1,1,1,1.0,2,1,0,1,1,0,1,2,2,1,2,1,1,0,1,14.0,0,0,0,0,269278.0,1,0,0,0.0
1,2.0,245.0,32.0,1,1,0.0,0.0,3,8,3,33.0,2,1.0,1,1,0,0.0,0,1,1,0,1,0,1,2,2,1,1,1,1,0,1,17.0,2,1,0,0,761788.0,0,0,0,9.0
1,5.0,0.0,12.0,1,0,6.0,0.0,2,6,5,22.0,4,0.0,0,1,0,1.0,0,1,0,0,1,0,1,2,2,0,2,1,1,0,0,30.0,0,0,0,0,109189.0,0,0,0,9.0
1,2.0,373.0,3.0,1,1,1.0,0.0,2,0,2,3.0,0,0.0,0,1,0,0.0,0,1,0,1,0,1,0,2,2,1,1,2,1,0,0,40.0,0,0,0,0,642250.0,0,0,1,3.0
1,3.0,61.0,5.0,1,1,3.0,0.0,2,1,3,5.0,0,0.0,0,1,0,0.0,0,1,1,1,1,0,1,2,2,1,1,1,0,0,0,14.0,0,0,0,0,3799200.0,0,0,1,0.0
1,5.0,155.0,5.0,1,1,0.0,0.0,3,0,3,6.0,0,0.0,1,0,1,0.0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0.0,0,0,0,0,2497831.0,0,2,0,0.0
1,1.0,43.0,8.0,0,1,6.0,0.0,1,0,1,5.0,0,0.0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,32.0,0,0,0,0,7253712.0,0,0,0,4.0
1,7.0,11.0,7.0,1,1,0.0,0.0,2,8,10,110.0,2,0.0,1,0,0,0.0,0,0,0,0,0,1,1,0,2,0,1,0,1,1,1,18.0,2,2,1,0,296645.0,0,2,0,1.0
1,2.0,281.0,3.0,0,1,3.0,0.0,2,0,2,3.0,0,0.0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,17.0,0,0,0,0,155498.0,1,0,1,5.0
1,2.0,421.0,7.0,0,1,2.0,0.0,4,0,4,50.0,0,0.0,0,0,0,0.0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,13.0,0,0,1,0,38021.0,1,2,0,2.0
1,6.0,-91.0,39.0,0,1,0.0,1.0,2,0,7,35.0,3,1.0,2,1,0,0.0,0,0,0,1,0,1,1,0,2,1,1,2,1,2,1,16.0,2,2,1,1,835064.5,0,2,0,4.0
1,4.0,983.0,115.0,1,1,2.0,3.0,3,2,5,132.0,3,0.0,0,0,0,0.0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,31.0,2,2,1,0,9355.0,0,2,0,1.0
1,3.0,68.0,9.0,1,1,0.0,0.0,3,0,4,8.0,0,0.0,1,1,0,0.0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,14.0,0,0,0,1,1024425.0,0,0,0,2.0
1,4.0,0.0,39.0,0,1,0.0,5.0,1,0,6,12.0,1,0.0,1,1,0,1.0,1,1,0,1,1,0,1,0,2,0,0,0,0,0,0,28.0,1,1,0,0,835064.5,0,0,0,1.0
1,2.0,75.0,14.0,1,1,0.0,3.0,2,6,4,13.0,0,0.0,1,0,0,0.0,0,1,1,1,1,0,1,0,2,0,1,0,1,2,1,45.0,1,1,1,1,1951415.0,0,2,0,0.0
1,2.0,140.0,26.0,1,1,0.0,0.0,4,4,4,30.0,2,0.0,1,0,0,0.0,0,1,1,0,1,1,1,0,2,1,1,0,1,1,0,21.0,1,2,0,0,912860.0,1,0,0,3.0
